												Body weight		liver (total)	heart (total)	visceral WAT	gonadal WAT	subcutaneous WAT	WAT (total)	ratio visc/sub WAT	kidneys	kidney (left)	kidney (right)		liver 		venes		urine		plasma												Sensitivity indices				
												(g)		(mg)											triglycerides (mmol/mg liver)		total atherosclerotic lesion area (um2)		glucose (mM)		cholesterol (mM)	triglycerides (mM)	glucose (mM)	insulin (ng/ml)	glucagon (pg/ml)	E-selectin (ng/ml)	VCAM (ug/ml)	MCP-1 (pg/ml)	adiponectin (ug/ml)	sLeptin (ng/ml)	sResistin (ng/ml)		HOMA-IR	QUICKI (=Quantitative insulin sensitivity check index)			
												non-fasted		non-fasted											non-fasted		non-fasted		non-fasted		fasted	fasted	fasted	fasted	non-fasted	fasted	fasted	non-fasted	fasted	non-fasted	non-fasted		HOMA -IR = (fasting plasma glucose x fasting plasma insulin) / 22.5	1/[log I (in uU/ml)+log G (in mg/dl)]			
mouse nr.	group	treatment	species	strain	genotype	gender	Earmark L	Earmark R	cage	No. mice in cage	BeadChipBarcode liver transcriptomics	termination t=16/t=9		termination t=16/t=9											termination t=16/t=9		termination t=16/t=9		t=15/t=9		t=15/t=9	t=15/t=9	t=15/t=9	t=15/t=9	t=16/t=9	t=15/t=9	t=15/t=9	t=16/t=9	t=15/t=9	t=16/t=9	t=16/t=9		glucose in mmol/l en insuline in mU/l	glucose in mg/dl en insulin in mU/l			albumine/creatinine ratio
mouse	group	treatment	species	strain	genotype	gender	Earmark L	Earmark.R	cage	No.mice.in.cage	BeadChipBarcode.liver.transcriptomics	body.weight		liver.total	heart.total	visceral.WAT	gonadal.WAT	subcutaneous.WAT	WAT.total	ratio.visc.sub.WAT	kidneys	kidney.left	kidney.right		liver.triglycerides		venes.total.atherosclerotic.lesion.area		urine.glucose		cholesterol	triglycerides	glucose	insulin	glucagon	E.selectin	VCAM	MCP1	adiponectin	sLeptin	sResistin		HOMA	QUICKI			albumine.creatinine.ratio
315	1	chow	Mus musculus	C57BL6/J	LDLr-/-	male	0	0	46	3	5388876125_A			1488	150	273	350	236	859	1.156779661	400	192	208		0.054864434		4837.131647		0.884244373		6.01	1.265	9.654634947	0.39	138	56	1.81	159.6	5.77	2.788	156		4.781343021	0.304228324			44.66664801
316	1	chow	Mus musculus	C57BL6/J	LDLr-/-	male	1	0	46	3	5511176057_C	28.5		1442	134	250	393	306	949	0.816993464	355	175	180		0.064148148		5488.801208		0.986066452		6.96	1.185	10.85308442	1.24	122	52	1.79	143.2	5.79	3.68	152.4		17.08930118	0.260404506			56.17185097
317	1	chow	Mus musculus	C57BL6/J	LDLr-/-	male	0	1	46	3	5511176060_C	31.5		1540	156	332	515	320	1167	1.0375	417	199	218		0.079147641		38.61668025		0.744908896		6.175	1.185	12	0	91.6	70	1.64	190	7.36	3.728	160.4		0				72.59328081
318	1	chow	Mus musculus	C57BL6/J	LDLr-/-	male	0	0	47	3		30.4		1581	159	194	343	190	727	1.021052632	450	201	249		0.064071856		2790.761551		1.178992497		5.555	0.945	11.1393643	0.79	105.2	74	2.1	516		1.708	152		11.17472736	0.273546024			58.89968218
319	1	chow	Mus musculus	C57BL6/J	LDLr-/-	male	1	0	47	3	5511176069_B	33.1		1729	153	325	547	326	1198	0.996932515	465	235	230		0.096017699		4530.29125		0.846730975		6.09	1.265	12.63068182	1.39	124.4	68	1.99	408	7.47	3.012	149.2		22.29415584	0.252803205			66.473672
320	1	chow	Mus musculus	C57BL6/J	LDLr-/-	male	0	1	47	3	5535688034_B	32.3		1563	177	396	832	377	1605	1.050397878	443	214	229		0.105325444		9194.746685		0.996784566		6.05	1.185	11.93966211	0.3	111.6	79	1.66	359.2	8.36	5.08	132.8		4.548442708	0.306248909			69.72897953
321	1	chow	Mus musculus	C57BL6/J	LDLr-/-	male	0	0	48	3	5535688041_F	29.2		1471	136	196	441	238	875	0.823529412	413	205	208		0.082814815		2983.635648		0.857449089		5.72	1.105	9.705614568	0.44	71.6	77	1.89	307.6	8.84	1.744	136		5.422819568	0.29925066			70.67159723
322	1	chow	Mus musculus	C57BL6/J	LDLr-/-	male	1	0	48	3	5535688020_F	27		1373	163	87		166		0.524096386	390	199	191		0.076218612		3016.077845		0.819935691		4.27	0.975	11.15302219	0	167.2	93	1.79	295.6	8.54	0.532	192.4		0				106.2667943
323	1	chow	Mus musculus	C57BL6/J	LDLr-/-	male	0	1	48	3	5511176050_F	26.7		1248	133	196	226	209	631	0.937799043	400	193	207		0.079852941		5888.677455		0.75562701		5.305	1.08	11.01530222	1.27	130	86	1.57	368	6.67	1.092	152.8		17.7643604	0.259268553			43.30018967
201	2	HF - 16wk	Mus musculus	C57BL6/J	LDLr-/-	male	0	0	1	3		36.1		1307	134	320	1786	530	2636	0.603773585	423	206	217		0.113153961		5741.641044		1.018220793		15.3	1.695	15.00244499	0.67	131.2	123	2.46	316.4	8.01	18.88	238		12.76398494	0.26929199			165.3901546
202	2	HF - 16wk	Mus musculus	C57BL6/J	LDLr-/-	male	1	0	1	3	5511176057_F	49.2		2815	185	1421	2348	1698	5467	0.836866902	466	228	238		0.307840237		21321.2215		1.972132905		21.045	1.75	14.04514155	5.38	133.6	93	2.4	359.2	6.27	51.6	246.8		95.95284002	0.217888049			193.5746163
203	2	HF - 16wk	Mus musculus	C57BL6/J	LDLr-/-	male	0	1	1	3		40.5		1549	147	449	2059	1313	3821	0.341964966	413	203	210		0.12147541		32529.05887		1.998928189		20.675	1.56	13.26650367	2.76	126	98	1.89	133.6	8.65	30.08	212.8		46.49593666	0.233925241			209.8533819
204	2	HF - 16wk	Mus musculus	C57BL6/J	LDLr-/-	male	0	0	2	3		49.6		2227	179	1282	2368	1496	5146	0.856951872	475	266	209		0.303403566		46034.43173		1.077170418		22.04	3.655	16.49388753	10.86	163.6	105	2.62	326.8	8.55	72.8	342		227.4585633	0.201435944			187.4210004
205	2	HF - 16wk	Mus musculus	C57BL6/J	LDLr-/-	male	1	0	2	3	5535688016_H	38.7		1448	162	703	1984	1000	3687	0.703	469	241	228		0.354817276		9722.926591				18.275	3.03	12.89747513	2.71	135.6	114	3.74	152.4	11.07	19.6	165.2		44.38369221	0.235035388			229.009191
206	2	HF - 16wk	Mus musculus	C57BL6/J	LDLr-/-	male	0	1	2	3		47.6		1999	186	328	2832	1484	4644	0.221024259	427	216	211		0.145681063		23206.95039		1.650589496		19.89	4.495	14.7996782	10.91	186.4	91	2.4	333.6	8.91	50.8	334.8		205.0342719	0.20328172			125.8565016
207	2	HF - 16wk	Mus musculus	C57BL6/J	LDLr-/-	male	1	0	3	2	5511176050_B	43.3		1504	153	699	2046	179	2924	3.905027933	416	207	209		0.18424337		24014.97042		1.575562701		19.89	3.135	17.5390185	3.86	120	98	2.73	400	11	39.2	296.4		85.96903038	0.220177165			192.1908592
208	2	HF - 16wk	Mus musculus	C57BL6/J	LDLr-/-	male	0	1	3	2	5535688034_E	43		1528	145	694	2622	1548	4864	0.448320413	420	216	204		0.147368421		44663.36167		1.355841372		26.34	5.42	16.40466613	5.27	166	104	2.7	428	11.62	47.2	245.6		109.7810673	0.215147111			166.0573876
209	2	HF - 16wk	Mus musculus	C57BL6/J	LDLr-/-	male	0	0	4	1	5535688040_G	44.3		1871	224	663	2859	1239	4761	0.535108959	568	259	309		0.108791209		2148.510693		1.087888532		15.425	2.945	16.60242792	1.54	188	109	2.84	368	11.96	31.8	312		32.46697016	0.242783457			289.9894297
210	2	HF - 16wk	Mus musculus	C57BL6/J	LDLr-/-	male	0	0	5	3		43.9		1903	147	972	2878	1355	5205	0.717343173	443	212	231		0.240654206		36561.57645		1.961414791		25.265	4.875	17.2614642	2.56	153.6	100	2.32	254	11.04	44.4	257.2		56.11345822	0.229540901			223.8824926
211	2	HF - 16wk	Mus musculus	C57BL6/J	LDLr-/-	male	1	0	5	3	5388876117_A	33.8		1237	136	367	1041	575	1983	0.63826087	371	187	184		0.12092257		8912.394915		1.02357985		15.215	3.9	14.39453718	1.62		100	1.99	165.2	9.94				29.61161934	0.245163105			118.0061756
212	2	HF - 16wk	Mus musculus	C57BL6/J	LDLr-/-	male	0	1	5	3		50.1		2791	157	985	2526	1879	5390	0.524215008	510	246	264		0.296551724		58193.97666		1.554126474		33.66	6.725	16.0305712	1.82		97	2.27	357.2	6.84				37.04843121	0.239450709			213.734302
213	2	HF - 16wk	Mus musculus	C57BL6/J	LDLr-/-	male	0	0	6	3	5511176064_D	47.2		1733	230	738	3285	1318	5341	0.559939302	525	253	272		0.112480974		1152.392522		1.162915327		16.045	1.205	15.69778118	3.81	119.6	122	2.78	347.2	11.23	37.56	256.4		75.94736037	0.222818003			174.8001836
214	2	HF - 16wk	Mus musculus	C57BL6/J	LDLr-/-	male	1	0	6	3	5511176060_A	34.7		1420	173	351	1644	638	2633	0.55015674	474	241	233		0.089956332		28524.33122		1.120042872		12.655	0.58	10.62509564	2.7	102.8	90	2.02	384.8	5.81	15.28	163.6		36.42889933	0.239871367			185.0582532
215	2	HF - 16wk	Mus musculus	C57BL6/J	LDLr-/-	male	0	1	6	3		39.2		1383	141	482	1928	1087	3497	0.443422263	415	194	221		0.098538961		15062.28439		1.371918542		22.295	1.125	13.97555012	8.36	136.4	86	2.11	253.2	9.14	23.32	226.4		148.3626654	0.209258445			156.9681356
22	3	HF - 9wk	Mus musculus	C57BL6/J	LDLr-/-	male	0	0		1	5535688001_H	42.5		1787	186	798	2101	1166	4065	0.684391081	448	212	236		0.119905956		not yet determined		1.103965702		24.784	1.448	13.12469237	5.22	159.6	91	2.6	217.6	9.69	35.48	220		86.99796086	0.219926962			
41	3	HF - 9wk	Mus musculus	C57BL6/J	LDLr-/-	male	1	0		1	5535688040_H	48.5		2129	218	864	2722	1505	5091	0.574086379	449	239	210		0.372173913		not yet determined		0.878885316		15.976	2.036	13.79951299	7.13	256.4	82	2.49	199.2	8.2	68.4	230.8		124.9403525	0.212577905			
50	3	HF - 9wk	Mus musculus	C57BL6/J	LDLr-/-	male	1	0		1	5535688034_G	31.2		1380	166	284	718	333	1335	0.852852853	419	190	229		0.076311606		not yet determined				6.064	0.9	11.08203445	2.46	168.8	114	2.9	372	7.17	4.88	259.2		34.61816477	0.241152183			
76	3	HF - 9wk	Mus musculus	C57BL6/J	LDLr-/-	male	0	0		3		34.1		1475	171	391	835	382	1608	1.023560209	435	208	227		0.084297521		not yet determined		1.264737406		8.432	1.108	12.72860636	0.41	116	137	2.66	492	7.91	9.84	240.8		6.62695696	0.291649846			
77	3	HF - 9wk	Mus musculus	C57BL6/J	LDLr-/-	male	1	0		3	5511176050_C	29.6		1336	144	210	529	167	906	1.25748503	405	207	198		0.072631579		not yet determined		1.045016077		8.368	1.264	11.02353896	0.48	153.6		2.41	444	6.41	1.56	206.4		6.719109462	0.291140586			
78	3	HF - 9wk	Mus musculus	C57BL6/J	LDLr-/-	male	0	1		3	5511176060_B	33.3		1293	150	300	1279	520	2099	0.576923077	376	200	176		0.080717489		not yet determined		1.227224009		12.92	1.464	13.82386364	2.69	102.8	113	2.45	359.2	9.36	12.68	160.8		47.22056277	0.233558302			
81	3	HF - 9wk	Mus musculus	C57BL6/J	LDLr-/-	male	0	1		1	5535688020_D	36.4		1425	124	516	1651	645	2812	0.8	428	224	204		0.085735294		not yet determined				20.548	4.392	12.80566182	2.38	102.4	91	2.46	444	8.78	19.16	155.6		38.70155573	0.238368599			
103	3	HF - 9wk	Mus musculus	C57BL6/J	LDLr-/-	male	0	0		1	5535688016_E	32.2		1480	134	204	339	232	775	0.879310345	421	206	215		0.053090333		not yet determined		0.605573419		9.588	1.84	8.352716144	0.32		247	2.6	311.2	7.4				3.394119576	0.318655817			
120	3	HF - 9wk	Mus musculus	C57BL6/J	LDLr-/-	male	0	1		1	5511176057_B	42.3		1494	152	502	2960	1306	4768	0.384379786	400	198	202		0.090837283		not yet determined		1.02357985		17.052	2.26	15.95599022	4.85	174	117	2.93	444	12.72	33.44	408		98.26863818	0.21739745			
306	4	Lifestyle (chow)	Mus musculus	C57BL6/J	LDLr-/-	male	0	0	41	3	5511176069_E	29.5		1284	140	188	294	237	719	0.793248945	354	184	170		0.045015576		11119.39962		0.632368703		5.225	1.055	11.77112387	0.39	128.8	103	2.03	333.6	6.85	1.412	136.8		5.829508965	0.296464337			61.42058739
307	4	Lifestyle (chow)	Mus musculus	C57BL6/J	LDLr-/-	male	1	0	41	3	5535688016_D	32.7		1375	126	296	727	437	1460	0.677345538	398	201	197		0.081563422		24827.46856		1.323687031		7.21	1.35	11.75405844	1.24	146.4	86	1.79	280.8	5.29	5.16	131.2		18.50797774	0.258076904			47.55900545
308	4	Lifestyle (chow)	Mus musculus	C57BL6/J	LDLr-/-	male	0	1	41	3		34.6		1550	172	319	818	476	1613	0.670168067	455	212	243		0.075744048		23941.13582		1.002143623		6.835	1.215	12.55745721	0	134.8	91	1.87	456	5.01	6.24	132.4		0				67.03436762
