												Body weight		liver (total)	heart (total)	visceral WAT	gonadal WAT	subcutaneous WAT	WAT (total)	ratio visc/sub WAT	kidneys	kidney (left)	kidney (right)		liver 		venes		urine		plasma												Sensitivity indices				
												(g)		(mg)											triglycerides (mmol/mg liver)		total atherosclerotic lesion area (um2)		glucose (mM)		cholesterol (mM)	triglycerides (mM)	glucose (mM)	insulin (ng/ml)	glucagon (pg/ml)	E-selectin (ng/ml)	VCAM (ug/ml)	MCP-1 (pg/ml)	adiponectin (ug/ml)	sLeptin (ng/ml)	sResistin (ng/ml)		HOMA-IR	QUICKI (=Quantitative insulin sensitivity check index)			
												non-fasted		non-fasted											non-fasted		non-fasted		non-fasted		fasted	fasted	fasted	fasted	non-fasted	fasted	fasted	non-fasted	fasted	non-fasted	non-fasted		HOMA -IR = (fasting plasma glucose x fasting plasma insulin) / 22.5	1/[log I (in uU/ml)+log G (in mg/dl)]			
mouse nr.	group	treatment	species	strain	genotype	gender	Earmark L	Earmark R	cage	No. mice in cage	BeadChipBarcode liver transcriptomics	termination t=16/t=9		termination t=16/t=9											termination t=16/t=9		termination t=16/t=9		t=15/t=9		t=15/t=9	t=15/t=9	t=15/t=9	t=15/t=9	t=16/t=9	t=15/t=9	t=15/t=9	t=16/t=9	t=15/t=9	t=16/t=9	t=16/t=9		glucose in mmol/l en insuline in mU/l	glucose in mg/dl en insulin in mU/l			albumine/creatinine ratio
mouse	group	treatment	species	strain	genotype	gender	Earmark L	Earmark.R	cage	No.mice.in.cage	BeadChipBarcode.liver.transcriptomics	body.weight		liver.total	heart.total	visceral.WAT	gonadal.WAT	subcutaneous.WAT	WAT.total	ratio.visc.sub.WAT	kidneys	kidney.left	kidney.right		liver.triglycerides		venes.total.atherosclerotic.lesion.area		urine.glucose		cholesterol	triglycerides	glucose	insulin	glucagon	E.selectin	VCAM	MCP1	adiponectin	sLeptin	sResistin		HOMA	QUICKI			albumine.creatinine.ratio
247	12	T0901317	Mus musculus	C57BL6/J	LDLr-/-	male	1	0	19	3	5535688016_B	24.3		3520	175	254	605	548	1407	0.46350365	381	186	195		0.187540453		151622.9724		0.77170418		23.115	29.455	9.227617602	1.36	168.8	97	2.07	152.4	4.88	2.408	165.2		15.93594913	0.262478699			99.97145189
248	12	T0901317	Mus musculus	C57BL6/J	LDLr-/-	male	0	1	19	3	5388876117_B	26.1		2491	117	170	249	248	667	0.685483871	264	134	130		0.185093168		55503.64484		1.414790997		35.52	36.415	9.136570561	0.08	133.6	91	1.99	428	5.36	0.796	148.8		0.928159549	0.388337803			91.43607959
249	12	T0901317	Mus musculus	C57BL6/J	LDLr-/-	male	0	0	20	3																																					
250	12	T0901317	Mus musculus	C57BL6/J	LDLr-/-	male	1	0	20	3	5511176064_E	30.4		2765	135	220	616	487	1323	0.45174538	399	197	202		0.180376766		79208.78109				39.445	36.47	9.821729151	1.21	76.8	84	1.86	171.2	4.99	2.672	150.4		15.09116479	0.264118606			
251	12	T0901317	Mus musculus	C57BL6/J	LDLr-/-	male	0	1	20	3	5511176050_G	30.2		2840	162	226	480	320	1026	0.70625	392	193	199		0.229455081		33765.72982		1.00750268		33.41	30.43	10.13691932	0.14		94	2.33	336.8	5.2				1.802118989	0.349254875			118.3865437
297	13	Salicylate	Mus musculus	C57BL6/J	LDLr-/-	male	0	0	38	3		52		2391	188	1147	1796	1901	4844	0.603366649	442	203	239		0.395770393		27146.02042		1.077170418		18.665	2.015	18.71882641	9.87	115.2	93	2.57	274.4	6.81	56.4	384		234.609291	0.200891951			154.1368037
298	13	Salicylate	Mus musculus	C57BL6/J	LDLr-/-	male	1	0	38	3	5535688001_G	47		2001	132	888	2208	1512	4608	0.587301587	424	212	212		0.350075873		37591.64389		1.27545552		18.25	2.55	15.83182937	9.22	113.6	89	2.32	254	6.46	38.72	347.6		185.358053	0.205108579			184.6113942
299	13	Salicylate	Mus musculus	C57BL6/J	LDLr-/-	male	0	1	38	3	5535688040_B	48.8		2137	172	1229	2326				494	244	250		0.391617647		84790.51101		1.173633441		31.1	5.945	14.92124692	12.07	120	80	2.41	263.2	6.48	44	194.8		228.6977148	0.201340248			184.0438909
300	13	Salicylate	Mus musculus	C57BL6/J	LDLr-/-	male	0	0	39	3	5511176066_G	36.7		1541	138	641	1951	1090	3682	0.588073394	404	215	189		0.203828484		15188.01125		1.173633441		18.25	3.94	14.04301948	2.21	277.6	93	2.23	272	10.46	34.4	336.4		39.40961657	0.237922052			134.2345045
301	13	Salicylate	Mus musculus	C57BL6/J	LDLr-/-	male	1	0	39	3	5511176064_F	41.4		1520	139	636	2600	1176	4412	0.540816327	411	197	214		0.181210191		13398.28681		1.655948553		20.525	3.885	16.42938312	4.58	123.2	88	2.38	142.8	10.26	33.8	257.2		95.55120594	0.217974567			128.2374217
302	13	Salicylate	Mus musculus	C57BL6/J	LDLr-/-	male	0	1	39	3	5535688041_H	32.4		1254	158	296	1228	551	2075	0.537205082	397	181	216		0.213803681		80937.49101		1.028938907		13.865	1.43	13.09535452	2.37	130	87	2.09	199.2	10.09	16.76	236		39.41078123	0.237921325			157.6673612
303	13	Salicylate	Mus musculus	C57BL6/J	LDLr-/-	male	0	0	40	3	5511176057_A	28.3		1140	192	177	333	236	746	0.75	394	188	206		0.085		9274.346971		0.476956056		7.785	1.16	9.364188164	0.65	152.8	232	2.24	280	6.7	11.8	195.2		7.729171183	0.286074908			101.1721609
304	13	Salicylate	Mus musculus	C57BL6/J	LDLr-/-	male	1	0	40	3	5535688020_E	30.9		1531	193	208	406	250	864	0.832	451	211	240		0.077727273		203.66		0.460878885		7.91	0.975	9.890589135	0.69	0	277	2.32	316.4	5.48	1.364	156		8.666040004	0.282065509			
305	13	Salicylate	Mus musculus	C57BL6/J	LDLr-/-	male	0	1	40	3	5535688034_H	35		1617	170	436	922	403	1761	1.081885856	439	220	219		0.090419162		2893.114		0.943193998		9.605	1.535	11.77276205	0.54	146.4	203	2.45	608	6.94	10.16	274		8.07275112	0.284537391			207.4611688
